CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
f0bac3b51c9f23a9e9bf51d84d4b2eb654d6f5b3;Move Source Folder;Move Source Folder	imagepipeline/src/test to imagepipeline-test/src/main
4b5a99236c56031ffaacfd725987a66c9c05e332;Move Source Folder;Move Source Folder	memory-types/nativememory to imagepipeline
4b5a99236c56031ffaacfd725987a66c9c05e332;Change Return Type;Change Return Type	MemoryChunkPool to NativeMemoryChunkPool in method public getNativeMemoryChunkPool() : NativeMemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
4b5a99236c56031ffaacfd725987a66c9c05e332;Change Attribute Type;Change Attribute Type	mNativeMemoryChunkPool : MemoryChunkPool to mNativeMemoryChunkPool : NativeMemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
4b5a99236c56031ffaacfd725987a66c9c05e332;Change Attribute Type;Change Attribute Type	mNativePool : MemoryChunkPool to mNativePool : NativeMemoryChunkPool in class com.facebook.imagepipeline.memory.MemoryPooledByteBufferOutputStreamTest
4e0e449fa3634b42d40b97d85baeef31e39e6e1f;Move Source Folder;Move Source Folder	imagepipeline to memory-types/nativememory
4e0e449fa3634b42d40b97d85baeef31e39e6e1f;Change Return Type;Change Return Type	NativeMemoryChunkPool to MemoryChunkPool in method public getNativeMemoryChunkPool() : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
4e0e449fa3634b42d40b97d85baeef31e39e6e1f;Change Attribute Type;Change Attribute Type	mNativeMemoryChunkPool : NativeMemoryChunkPool to mNativeMemoryChunkPool : MemoryChunkPool in class com.facebook.imagepipeline.memory.PoolFactory
4e0e449fa3634b42d40b97d85baeef31e39e6e1f;Change Attribute Type;Change Attribute Type	mNativePool : NativeMemoryChunkPool to mNativePool : MemoryChunkPool in class com.facebook.imagepipeline.memory.MemoryPooledByteBufferOutputStreamTest
29bcf3c99ca1e32671f7bd648d9e481936926ff2;Move Source Folder;Move Source Folder	imagepipeline-test/src/main to imagepipeline/src/test
8bbd7808a21d9e58b58aa7118817adf9b8016efa;Move Source Folder;Move Source Folder	imagepipeline-test/src/main to imagepipeline/src/test
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Attribute;Pull Up Attribute	private mPendingReleasables : Set<Releasable> from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to protected mPendingReleasables : Set<Releasable> from class com.facebook.drawee.components.DeferredReleaser
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Attribute;Pull Up Attribute	private mUiHandler : Handler from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to protected mUiHandler : Handler from class com.facebook.drawee.components.DeferredReleaser
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Attribute;Pull Up Attribute	private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaser
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Method;Pull Up Method	public DeferredReleaserLegacyImpl() from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to public DeferredReleaser() from class com.facebook.drawee.components.DeferredReleaser
